,address,x,y
38,415 ANG MO KIO AVE 10,30354.3941798024,38490.8387882095
39,254 ANG MO KIO AVE 4,28152.3690952295,39135.6504789628
40,207 ANG MO KIO AVE 1,29060.4855782306,38651.0529769417
41,432 ANG MO KIO AVE 10,30257.1120628994,38926.2896202449
42,117 ANG MO KIO AVE 4,28255.0592533192,39524.1712259986
43,428 ANG MO KIO AVE 3,30347.4753727438,38995.8524992689
44,573 ANG MO KIO AVE 3,30393.1924380306,39175.2469341904
45,418 ANG MO KIO AVE 10,30306.4240868799,38554.320889838
46,324 ANG MO KIO AVE 3,29509.1373676136,38928.932862727
47,596B ANG MO KIO ST 52,29917.1846568398,39339.9768034145
48,234 ANG MO KIO AVE 3,28369.6328336922,38801.6522076987
49,648 ANG MO KIO AVE 5,29157.5180145362,40024.1393247079
50,253A ANG MO KIO ST 21,28107.4978082115,39107.2283579651
51,439 ANG MO KIO AVE 10,30245.5403403128,38703.1503213197
52,306 ANG MO KIO AVE 1,29383.5318336077,38640.5086102579
53,729 ANG MO KIO AVE 6,29404.1440581065,39540.6568649374
54,315B ANG MO KIO ST 31,29575.8565392978,38452.7590616457
55,700C ANG MO KIO AVE 6,29465.623962882,39051.4133182187
56,620 BEDOK RESERVOIR RD,37392.1678528115,35169.5875080861
57,38 BEDOK STH RD,39760.7011717232,33675.9521351382
58,504 BEDOK NTH ST 3,38977.1582055558,34913.1820303164
59,545 BEDOK NTH ST 3,38105.0479711611,34696.0313427728
60,546 BEDOK NTH ST 3,38269.5099081919,34781.0292892866
61,18 BEDOK STH RD,39286.5650113057,33653.7554724943
62,550 BEDOK NTH AVE 1,38383.1915818891,34988.1538888328
63,502 BEDOK NTH ST 3,38898.1234150482,34828.04824109
64,509 BEDOK NTH ST 3,38876.3313748119,35008.166383503
65,525 BEDOK NTH ST 3,38697.8961020252,35199.1387156807
66,534 BEDOK NTH ST 3,38182.295013478,35026.1623342931
67,542 BEDOK NTH ST 3,37963.2556945542,34763.9728567116
68,76 BEDOK NTH RD,40102.6536269654,34502.0795210805
69,709 BEDOK RESERVOIR RD,37908.2703607781,35289.2195647024
70,703 BEDOK RESERVOIR RD,37634.8234330826,35482.6063739415
71,27 NEW UPP CHANGI RD,39307.3408039892,34040.6894204821
72,42 CHAI CHEE ST,38292.7759387,34466.8549431544
73,426 BEDOK NTH RD,38646.7683319692,34668.3205496594
74,530 BEDOK NTH ST 3,38428.0248825867,35100.9576699287
75,420 BEDOK NTH ST 1,38634.3922982514,34440.9828997832
76,105 BEDOK NTH AVE 4,39484.9904712588,35102.0491939578
77,519 BEDOK NTH AVE 1,38543.7293353677,34787.2409757096
78,548 BEDOK NTH AVE 1,38409.5189768067,34835.2339209598
79,537 BEDOK NTH ST 3,38118.2209911589,34886.3959543742
80,28 NEW UPP CHANGI RD,39315.5641611461,33993.16354049
81,100 BEDOK NTH AVE 4,39764.8802419677,35172.0688773915
82,103 BEDOK RESERVOIR RD,36465.0102352742,34554.3070783243
83,522 BEDOK NTH AVE 1,38423.597524073,34763.6715086643
84,551 BEDOK NTH AVE 1,38395.3814069713,34955.4828390833
85,608 BEDOK RESERVOIR RD,36889.5568748368,34893.9047752377
86,135 BEDOK NTH ST 2,39483.7914958876,34550.5607191771
87,40 CHAI CHEE AVE,38368.8684087787,34252.8486450985
88,57 NEW UPP CHANGI RD,40016.0016259439,33995.6553219799
89,401 BEDOK NTH AVE 3,39160.8050500462,34798.9413372278
90,2 BEDOK STH AVE 1,39126.8995811185,33728.5131244902
91,116 BEDOK NTH RD,39565.835196388,34800.449954072
92,419 BEDOK NTH ST 1,38552.19474559,34354.9009962361
93,107 BEDOK NTH RD,39460.90811323,34946.6457985584
94,221B BEDOK CTRL,39260.2348922705,34137.5627077296
95,219A BEDOK CTRL,39124.492580249,34171.9115420841
96,512 BEDOK NTH AVE 2,38668.1207902785,35062.6897067763
97,131 BEDOK RESERVOIR RD,36724.2828780701,35035.5191063676
98,147 BEDOK RESERVOIR RD,36731.8067421224,35230.1187537145
99,117 BEDOK NTH RD,39705.1979527455,34762.7852923702
100,82 BEDOK NTH RD,39917.7989083165,34639.1999344006
101,121 BEDOK NTH RD,39741.3491849937,34650.8262906987
102,536 BEDOK NTH ST 3,38001.83962519,35081.9084235728
103,517 BEDOK NTH AVE 2,38671.1198329097,34810.790042134
104,34 BEDOK STH AVE 2,39689.4853278417,33812.0582380556
105,6 BEDOK STH AVE 2,39315.1596900793,33829.7986362595
106,37 BEDOK STH AVE 2,39855.5853076167,33795.4908755589
107,35 BEDOK STH AVE 2,39849.5154872341,33872.1763257068
108,724 BEDOK RESERVOIR RD,38585.3222668003,35480.3156323973
109,523 BEDOK NTH ST 3,38827.7438452896,35171.8959564008
110,65 NEW UPP CHANGI RD,39847.0138686476,34101.9925905
111,132 BEDOK NTH ST 2,39506.3436257318,34441.9259290844
112,62 NEW UPP CHANGI RD,39936.8028435009,33961.3328207731
113,428 BEDOK NTH RD,38498.1317378124,34639.4889028408
114,772 BEDOK RESERVOIR VIEW,39583.2719764477,35444.2364984863
115,774 BEDOK RESERVOIR VIEW,39506.0733326366,35418.2294901758
116,768 BEDOK RESERVOIR VIEW,39574.4541863594,35316.7382166535
117,180 BEDOK NTH RD,39971.8575272355,34327.0138013139
118,611 BEDOK RESERVOIR RD,37108.7280108286,34802.6047621015
119,602 BEDOK RESERVOIR RD,36710.0554123232,34618.3116053529
120,101 BEDOK RESERVOIR RD,36526.8931885203,34518.8045495041
121,506 BEDOK NTH AVE 3,39173.6651293607,34927.3276211657
122,99 BEDOK NTH AVE 4,39813.5822450044,35125.2140688654
123,553 BEDOK NTH AVE 1,38516.8891402707,34855.5223688371
124,804 CHAI CHEE RD,37871.7975917384,34051.7740404084
125,659 JLN TENAGA,36131.6412353907,35169.3414899148
126,405 BEDOK NTH AVE 3,39215.4342204584,34548.1203932576
127,172 BEDOK STH RD,40394.4938938096,33658.6816473808
128,406 BEDOK NTH AVE 3,39257.0462509897,34494.1752187405
129,55 NEW UPP CHANGI RD,40107.414659732,34147.7851441391
130,66 BEDOK STH AVE 3,40303.5728358291,33418.133505743
131,103 LENGKONG TIGA,36600.5219960632,34232.0118926968
132,67 BEDOK STH AVE 3,40326.2471877914,33471.2463712431
133,114 BEDOK RESERVOIR RD,36515.9296102617,34752.286236858
134,10D BEDOK STH AVE 2,39463.7726449408,33780.4607936889
135,629 BEDOK RESERVOIR RD,37034.772490669,35176.7363820877
136,104 LENGKONG TIGA,36513.3033783864,34207.627853673
137,308 SHUNFU RD,28503.9452861622,36966.0705541763
138,271 BISHAN ST 24,29001.491582958,37633.1956209205
139,107 BISHAN ST 12,29625.0556636993,36505.5399432443
140,239 BISHAN ST 22,29275.2238772037,38054.8396819159
141,264 BISHAN ST 24,28971.6855794769,37859.1244474929
142,177 BISHAN ST 13,30251.4866673211,36663.5136352852
143,281 BISHAN ST 24,29258.7321543992,37706.3237052076
144,113 BISHAN ST 12,29723.9110801276,36595.574694125
145,227 BISHAN ST 23,29537.9546976751,37794.0612674654
146,167 BISHAN ST 13,30464.6151938485,36597.8354703654
147,112 BISHAN ST 12,29749.738387418,36548.9616662525
148,251 BISHAN ST 22,29207.7034211867,38218.6296394411
149,302 SHUNFU RD,28643.3305316316,36831.0427784473
150,289 BISHAN ST 24,29292.2818837157,37638.2158989664
151,248 BISHAN ST 22,29108.7295056013,38161.8986905068
152,310 SHUNFU RD,28596.5683431355,36995.8319426514
153,447 BRIGHT HILL DR,27845.7965229386,37810.7604772989
154,217 BISHAN ST 23,29781.8321964489,37646.9393740185
155,128 BISHAN ST 12,29908.4102710402,36469.1301013436
156,183 BISHAN ST 13,30132.0260182973,36952.3678141963
157,192 BISHAN ST 13,30001.8508057175,36788.2496306561
158,212 BISHAN ST 23,29700.7260770118,37636.2394904345
159,201 BISHAN ST 23,29516.5829283921,37461.9297135603
160,450 SIN MING AVE,27674.951976181,37825.5699963719
161,525 BT BATOK ST 52,18972.9485483505,37687.4613636509
162,501 BT BATOK ST 52,19283.8130299281,37066.9072825518
163,410 BT BATOK WEST AVE 4,18170.2524258383,38500.5999102779
164,408 BT BATOK WEST AVE 4,18170.0514161577,38540.5329454839
165,423 BT BATOK WEST AVE 2,18165.2469791025,38246.087513281
166,272 BT BATOK EAST AVE 4,19602.8238971792,36768.025532512
167,229 BT BATOK EAST AVE 3,19248.4945909837,36711.2340173423
168,217 BT BATOK ST 21,19253.7166959466,36540.6518031992
169,421 BT BATOK WEST AVE 2,18165.2446484677,38285.9619194027
170,407 BT BATOK WEST AVE 4,18261.8384108851,38544.0615264904
171,240 BT BATOK EAST AVE 5,19192.5137432227,36955.7786830142
172,179 BT BATOK WEST AVE 8,17860.8079969836,36439.4186853096
173,414 BT BATOK WEST AVE 4,18279.9567956701,38403.0099074449
174,269 BT BATOK EAST AVE 4,19779.4367952021,36764.434962675
175,152 BT BATOK ST 11,18088.4628250608,36714.0705814362
176,146 BT BATOK WEST AVE 6,18069.1297860891,36865.2288315855
177,533 BT BATOK ST 51,18705.2395223286,37551.8967852313
178,157 BT BATOK ST 11,17995.5166573608,36721.4935017638
179,540 BT BATOK ST 52,18872.9335957337,37388.969253365
180,239 BT BATOK EAST AVE 5,19295.6858584173,36928.2633302715
181,249 BT BATOK EAST AVE 5,19458.0924782818,36969.967647884
182,316 BT BATOK ST 32,18375.2735215863,38071.3365805447
183,250 BT BATOK EAST AVE 5,19515.5349064413,37018.5011490565
184,164 BT BATOK ST 11,17929.8115842035,36649.3988269754
185,167 BT BATOK WEST AVE 8,17865.8610855257,36562.6830815803
186,312 BT BATOK ST 32,18431.0990340551,37994.1693246327
187,208 BT BATOK ST 21,18595.3245478654,36448.8063004594
188,534 BT BATOK ST 51,18773.4033848755,37554.9788832087
189,311 BT BATOK ST 32,18543.0556445559,38016.6965741944
190,319 BT BATOK ST 33,18324.3474876424,38110.9479881562
191,417 BT BATOK WEST AVE 4,18342.4790390003,38327.2510208152
192,307 BT BATOK ST 31,18518.2308431547,37805.2580302712
193,138 BT BATOK WEST AVE 6,18112.3580966825,36951.2779549062
194,124 BT BATOK CTRL,18417.0650715288,37032.5318123717
195,291B BT BATOK ST 24,19379.9538017008,36145.1296477802
196,288D BT BATOK ST 25,19758.0990471328,36437.7046699282
197,113 BT BATOK WEST AVE 6,18209.7822006969,36831.8956999611
198,186 BT BATOK WEST AVE 6,18069.3259528913,36523.7574556768
199,386 BT BATOK WEST AVE 5,19012.0820547659,38443.157996675
200,337 BT BATOK ST 34,18660.1116838809,38392.6971816402
201,165 BT BATOK WEST AVE 8,17757.9632300334,36649.9595716409
202,290D BT BATOK EAST AVE 3,19557.9354482153,36283.8407647163
203,131 BT BATOK WEST AVE 6,18311.5034503592,36982.9185008816
204,291D BT BATOK ST 24,19327.5953959636,36185.0385291334
205,291A BT BATOK ST 24,19401.0371473674,36201.5960242674
206,384 BT BATOK WEST AVE 5,18971.8110472541,38331.8340778388
207,207 BT BATOK ST 21,18658.8022606373,36487.0140000582
208,193 BT BATOK WEST AVE 6,18106.9663094031,36460.5266993828
209,243 BT BATOK EAST AVE 5,19443.3962825397,36859.7886760682
210,388 BT BATOK WEST AVE 5,18986.6932700239,38497.2093210109
211,102 BT BATOK WEST AVE 6,18431.9287400246,36606.5863379426
212,623 BT BATOK CTRL,18657.7466041697,36993.7712377831
213,621 BT BATOK CTRL,18542.9083000114,36927.1622112915
214,622 BT BATOK CTRL,18561.9612995973,36908.4378614724
215,202 BT BATOK ST 21,18554.8873085873,36525.6300147567
216,524 BT BATOK ST 52,19023.0393978199,37700.5321989357
217,28 JLN KLINIK,27430.7492479216,30034.8225376178
218,48 LOWER DELTA RD,27207.9235858433,30205.5407760795
219,116 BT MERAH VIEW,26688.2769996645,29729.1409034282
220,8 JLN BT HO SWEE,27855.5296168551,29993.6983664483
221,107 JLN BT MERAH,27047.2511095693,29143.3838044479
222,5 TELOK BLANGAH CRES,26430.9843672914,29020.3307997771
223,26 JLN KLINIK,27458.6161330268,30064.9624272268
224,129 BT MERAH VIEW,26890.9941570284,29548.7704168335
225,130 BT MERAH VIEW,27003.0199904079,29668.6394112259
226,60 TELOK BLANGAH HTS,25644.9070023112,28727.857871538
227,130 KIM TIAN RD,27550.3797608707,29205.821115816
228,128 BT MERAH VIEW,26919.4733029073,29525.2183841486
229,38 BEO CRES,27329.0727948751,30107.2671405654
230,11 CANTONMENT CL,28707.0317129279,28545.0787798725
231,77 TELOK BLANGAH DR,25273.2162833344,28491.5156781133
232,55 TELOK BLANGAH DR,25644.0502367634,28493.5943318959
233,26D JLN MEMBINA,27096.7814565161,29393.4970526919
234,26C JLN MEMBINA,27097.0895240549,29466.3806927428
235,27 LIM LIAK ST,27724.081635559,29762.6168696675
236,29 LIM LIAK ST,27675.2680041986,29756.469139494
237,46 SENG POH RD,27800.9209378678,29604.1492343992
238,59 TELOK BLANGAH HTS,25804.1761035193,28647.6318239942
239,54 LENGKOK BAHRU,25814.1201350139,30171.63155392
240,106A DEPOT RD,25512.5477428297,29229.281829996
241,53 LENGKOK BAHRU,25788.8585060723,30139.7068823818
242,14 TELOK BLANGAH CRES,26598.9987970358,28913.7658252157
243,54 TELOK BLANGAH DR,25620.9687804207,28453.436647715
244,112B DEPOT RD,25152.3844946483,29334.8940592334
245,20 JLN MEMBINA,27157.4990318529,29756.3777604513
246,120 KIM TIAN PL,27348.6699522724,29543.048647996
247,70 REDHILL CL,26150.5496820714,29905.1853081807
248,68 REDHILL CL,26075.4949800828,29921.301314503
249,69 REDHILL CL,26114.2973850258,29937.2745164782
250,21 JLN MEMBINA,27161.3321390431,29723.8638318069
251,8A BOON TIONG RD,27644.5604385538,29882.958619697
252,27A JLN MEMBINA,27022.5992594268,29406.7498590946
253,2A BOON TIONG RD,27982.6950719375,29883.4284998756
254,50 HOY FATT RD,25565.2014430165,30032.4426871296
255,106B DEPOT RD,25488.402185251,29233.2466634512
256,95 HAVELOCK RD,27947.6469563562,30098.5861012284
257,82 REDHILL LANE,26459.3007016862,29981.4429203775
258,119B KIM TIAN RD,27326.4595479649,29289.1961535811
259,75C REDHILL RD,26103.3074130854,30159.1556358561
260,121 KIM TIAN PL,27462.7482576277,29460.2680734321
261,2C BOON TIONG RD,27947.3957926268,29919.703437373
262,109 GANGSA RD,20702.8943333393,39927.9011808317
263,142 PETIR RD,20721.1497412864,39820.0192462988
264,251 BANGKIT RD,21418.0628625965,40252.2087938935
265,409 SAUJANA RD,20694.9974466553,40477.1894758772
266,208 PETIR RD,21512.9789917488,39553.4152438268
267,435 BT PANJANG RING RD,20975.3040983034,40886.8432988748
268,412 SAUJANA RD,20761.4885793496,40539.4077983815
269,466 SEGAR RD,21320.6063415715,40986.7056705859
270,140 PETIR RD,20836.8433581283,39721.7443697974
271,123 PENDING RD,21026.9413087936,39949.926799098
272,402 FAJAR RD,20739.0534957992,40253.5322917495
273,207 PETIR RD,21493.3066486791,39523.139783917
274,520 JELAPANG RD,20564.8004411263,40934.1612075511
275,523 JELAPANG RD,20475.022725963,40990.2748712245
276,615 BT PANJANG RING RD,20068.2291063545,40770.7246287372
277,609 BT PANJANG RING RD,20064.2748364257,40534.9736901075
278,404 FAJAR RD,20680.8389313752,40289.6370929107
279,631 SENJA RD,19869.2648157552,40951.7639772352
280,629 SENJA RD,19725.1878209338,40879.9995261487
281,440 FAJAR RD,20962.0156967519,40626.3886005115
282,204 PETIR RD,21488.77998091,39464.3283651229
283,506 JELAPANG RD,20744.311044571,40996.7278540134
284,136 PETIR RD,20814.712195402,39623.0645682104
285,652 SENJA LINK,20268.7369430503,41042.6486833673
286,620 BT PANJANG RING RD,20033.9395367121,40866.5051812362
287,656 SENJA RD,20351.252672757,41060.6391556524
288,448 BT PANJANG RING RD,21186.6653075293,40627.7451510057
289,507 JELAPANG RD,20730.8541108854,40943.8972979989
290,625 SENJA RD,19927.8863634877,40919.780010717
291,623 SENJA RD,20085.5645492049,40910.7909643762
292,610 SENJA RD,19978.2199016511,40595.055940466
293,611 BT PANJANG RING RD,20018.8313029073,40594.1010763831
294,627 SENJA RD,19771.3954697,40831.0672140233
295,626 SENJA RD,19827.2876928048,40824.407379834
296,608 SENJA RD,19992.8382481383,40539.9113062918
297,182 JELEBU RD,20219.9652025793,40201.773252625
298,606 SENJA RD,20015.4373841612,40362.3018651716
299,478 SEGAR RD,21273.4072044622,41272.9104323443
300,470 SEGAR RD,21316.658851671,41149.6326576266
301,124 PENDING RD,21083.7385446113,39887.1985821389
302,653 SENJA LINK,20279.7495251745,40984.8490324635
303,135 CASHEW RD,20829.3491567001,39560.9869010244
304,184 JELEBU RD,20112.1123555787,40187.0609240476
305,183 JELEBU RD,20138.2980055287,40212.9116890244
306,543 JELAPANG RD,20290.8424082585,40494.9243653081
307,1 TOH YI DR,21473.9589902712,35748.6328935511
308,5 FARRER RD,25103.0603029383,33204.038280353
309,34 UPP CROSS ST,29300.2051338134,29610.9694283661
310,3 TG PAGAR PLAZA,29014.1744432272,28677.0107764937
311,538 UPP CROSS ST,29385.312741233,29737.7574114241
312,532 UPP CROSS ST,29409.7630974082,29625.1200134344
313,53 CHIN SWEE RD,28906.3926351853,30004.3489132188
314,1A CANTONMENT RD,28851.0881860564,28922.8760948312
315,1F CANTONMENT RD,28876.2228105394,28717.6807160322
316,1C CANTONMENT RD,28929.0768545102,28879.3522476442
317,1B CANTONMENT RD,28899.7792018149,28918.0879419502
318,1E CANTONMENT RD,28872.2574625285,28787.8612435311
319,5 TECK WHYE AVE,19124.4457999161,40452.8518982083
320,15 TECK WHYE LANE,19255.0439773006,40123.2434228901
321,459 CHOA CHU KANG AVE 4,17072.4554179357,40018.363134034
322,206 CHOA CHU KANG CTRL,18542.9360557524,40292.8340881541
323,690A CHOA CHU KANG CRES,18899.1506941179,42737.5484109968
324,20 TECK WHYE LANE,19079.7345397286,40081.3385798857
325,295 CHOA CHU KANG AVE 2,17722.5258984491,40016.3575471658
326,110 TECK WHYE LANE,18973.4395858496,40024.1091172602
327,409 CHOA CHU KANG AVE 3,17823.7201522477,40344.0131624434
328,688A CHOA CHU KANG DR,18790.8029050473,42868.8709617667
329,485A CHOA CHU KANG AVE 5,17432.8321462059,39624.0119863693
330,16 TECK WHYE LANE,19257.9420156693,40039.6822975613
331,103 TECK WHYE LANE,19123.4142367626,39901.7892334219
332,687A CHOA CHU KANG DR,18745.7291857554,42929.3729079887
333,407 CHOA CHU KANG AVE 3,17707.0060503343,40265.280264806
334,160 JLN TECK WHYE,19539.5965006333,40264.9561552349
335,686C CHOA CHU KANG CRES,18616.7215909148,42948.471491158
336,670A CHOA CHU KANG CRES,18456.5108830007,42726.8038821369
337,114 TECK WHYE LANE,18806.4108935315,40054.0850754697
338,238 CHOA CHU KANG CTRL,18528.477887434,40124.6711636819
339,202 CHOA CHU KANG AVE 1,18668.1340616252,40422.1925494615
340,296A CHOA CHU KANG AVE 2,17719.7801685743,39903.0304628983
341,616 CHOA CHU KANG ST 62,18139.2439964348,42385.5181095041
342,155 JLN TECK WHYE,19525.0662945136,40101.4916390721
343,402 CHOA CHU KANG AVE 3,17552.2793865139,40130.9297654796
344,422 CHOA CHU KANG AVE 4,17721.3701457586,40468.6515132971
345,296 CHOA CHU KANG AVE 2,17701.7648160057,39929.7716514207
346,226 CHOA CHU KANG CTRL,18203.8282461558,40347.347029509
347,472 CHOA CHU KANG AVE 3,17341.3126599193,40117.9913223553
348,673 CHOA CHU KANG CRES,18520.3427311825,42577.4214545935
349,410 CHOA CHU KANG AVE 3,17783.9828903601,40288.541119488
350,406 CHOA CHU KANG AVE 3,17638.1377912695,40260.4504329115
351,788 CHOA CHU KANG NTH 6,18537.1799932886,41965.2535118666
352,631 CHOA CHU KANG NTH 6,18516.8828282319,42055.6826545745
353,641 CHOA CHU KANG ST 64,18707.4839538569,42243.0934136454
354,765 CHOA CHU KANG NTH 5,18699.7229098845,41625.9649116024
355,473 CHOA CHU KANG AVE 3,17405.0864843763,40176.899901377
356,691B CHOA CHU KANG CRES,18903.3327306239,42610.4360459577
357,14 TECK WHYE LANE,19359.2814044496,40051.1381240394
358,689A CHOA CHU KANG DR,18763.3961538309,42761.0766530484
359,760 CHOA CHU KANG NTH 5,18424.2027766453,41659.5525969695
360,102 TECK WHYE LANE,19216.7218949916,39896.4850416873
361,509 CHOA CHU KANG ST 51,17817.1914389636,41103.6959073134
362,763 CHOA CHU KANG NTH 5,18567.1684824442,41639.7998016011
363,503 CHOA CHU KANG ST 51,17873.3319806065,41137.4431049563
364,474 CHOA CHU KANG AVE 3,17445.1701028012,40060.9164383225
365,441 CHOA CHU KANG AVE 4,17593.3731988948,40542.2537758183
366,502 CHOA CHU KANG ST 51,17943.8441544026,41182.7246139571
367,471 CHOA CHU KANG AVE 3,17295.0064585982,40063.5222393088
368,282 CHOA CHU KANG AVE 3,17972.529939807,40247.2281971723
369,287 CHOA CHU KANG AVE 2,17822.5553191621,40081.7580638714
370,690B CHOA CHU KANG CRES,18936.2233745949,42782.6065725461
371,457 CHOA CHU KANG AVE 4,17190.4449218791,40068.2399888597
372,757 CHOA CHU KANG NTH 5,18273.0362330694,41639.7531889062
373,208 CHOA CHU KANG CTRL,18525.4515128136,40380.5968939103
374,163 JLN TECK WHYE,19498.4482058808,40319.6945930682
375,604 CHOA CHU KANG ST 62,18186.5896608531,42147.8323505521
376,513 WEST COAST RD,19869.0625650883,32331.2760735881
377,346 CLEMENTI AVE 5,20959.3970318725,33254.6056084223
378,354 CLEMENTI AVE 2,21049.0773446653,32867.2939462643
379,515 WEST COAST RD,19816.2959653223,32299.9542494826
380,703 WEST COAST RD,19910.8309902903,32119.296095971
381,602 CLEMENTI WEST ST 1,20541.5548415082,31939.6151745822
382,351 CLEMENTI AVE 2,21049.1145440172,33070.332277203
383,429 CLEMENTI AVE 3,20158.7384894881,32800.7874071654
384,304 CLEMENTI AVE 4,20381.1479667909,33686.3078112099
385,307 CLEMENTI AVE 4,20631.1379940724,33741.0714622755
386,308 CLEMENTI AVE 4,20609.4305831175,33700.8176469766
387,374 CLEMENTI AVE 4,20617.5720956465,33487.8871941362
388,434 CLEMENTI AVE 3,20019.8119855803,32983.9818058368
389,729 CLEMENTI WEST ST 2,20231.99082385,31917.8504663352
390,331 CLEMENTI AVE 2,20724.2357135667,32936.2999246549
391,511 WEST COAST DR,19886.1338592442,32514.1825329289
392,318 CLEMENTI AVE 4,20417.167714918,33302.0554249715
393,605 CLEMENTI WEST ST 1,20732.8989855982,31968.4425233472
394,342 CLEMENTI AVE 5,20936.1751320846,33403.5133734439
395,43 CIRCUIT RD,33812.2608519373,34301.2495119665
396,109 ALJUNIED CRES,33689.2988328245,33517.3410296272
397,82 MACPHERSON LANE,33820.6162077701,34942.6994891092
398,58 CIRCUIT RD,33913.6591119459,34138.9696241487
399,61 CIRCUIT RD,33980.2467389731,34218.890873095
400,20 BALAM RD,34030.6972628925,34782.1080099586
401,93 PAYA LEBAR WAY,34096.9823916908,33886.8746402077
402,25 EUNOS CRES,35685.3732616007,33960.8387867417
403,23 BALAM RD,33923.04261065,34797.587722728
404,21 EUNOS CRES,35786.2728565782,34140.8619784899
405,9 HAIG RD,34982.6467805337,32969.0181621891
406,16 EUNOS CRES,35916.1943629188,33915.6197205912
407,102 ALJUNIED CRES,33464.5523039633,33633.0102807414
408,31 BALAM RD,33797.0169267617,34655.0934105068
409,126 GEYLANG EAST AVE 1,33988.7155392086,33314.3403217904
410,45 SIMS DR,33021.8730536634,33290.0189980306
411,10 HAIG RD,35095.3673549434,32473.6325756796
412,22 HAIG RD,34890.0029899916,32897.9714558013
413,34 CASSIA CRES,33692.8714840151,32438.9998579063
414,34 EUNOS CRES,35529.2463403177,33696.5788277332
415,44 SIMS DR,32848.093692936,33168.1618813965
416,352 UBI AVE 1,35354.2225417085,34162.4855168629
417,11 EUNOS CRES,35913.3676661868,33783.5906242765
418,11 HAIG RD,35046.7652059849,33013.5211786497
419,67 CIRCUIT RD,34077.3118647002,34231.183155302
420,28 CASSIA CRES,33588.0729792509,32362.0094578229
421,125 ALJUNIED RD,33390.1836258266,33946.0499407016
422,123 PAYA LEBAR WAY,33555.2240445623,33889.2168070562
423,6 HAIG RD,35111.0573091274,32829.9594174605
424,5 PINE CL,33494.4061611276,32151.7527273241
425,45 JLN TIGA,33712.1292767785,32328.0928502772
426,22 HOUGANG AVE 3,34360.0432845242,38481.3418451026
427,2 HOUGANG AVE 3,34662.3762808722,38354.3851483036
428,530 HOUGANG AVE 6,34321.2900347877,39684.6960247792
429,307 HOUGANG AVE 5,34865.8343076734,38743.2547943853
430,121 HOUGANG AVE 1,33967.0692998497,37328.6076295171
431,309 HOUGANG AVE 5,34880.5315627949,38694.1014654431
432,317 HOUGANG AVE 7,35026.2808031812,38593.861016348
433,242 HOUGANG ST 22,34549.2471794859,37718.7719583362
434,327 HOUGANG AVE 5,34974.3117042501,38926.024170028
435,328 HOUGANG AVE 5,35064.390404244,38974.3329919558
436,644 HOUGANG AVE 8,33335.4167663557,39272.1448898446
437,335 HOUGANG AVE 7,35278.1791965682,38996.9487148337
438,501 HOUGANG AVE 8,33921.9384346036,39340.1975478195
